time,signal,price,qty,fee,balance,position,pnl
2025-12-04 22:50:00,buy,137890000.0000,0.00007252,5.00,804909.19,0.00137248,0.00
2025-12-04 22:55:00,buy,137800000.0000,0.00007257,5.00,794904.19,0.00144505,0.00
2025-12-04 23:50:00,buy,136889000.0000,0.00007305,5.00,784899.19,0.00151810,0.00
2025-12-04 23:55:00,buy,136600000.0000,0.00007321,5.00,774894.19,0.00159130,0.00
2025-12-05 02:25:00,buy,137288000.0000,0.00007284,5.00,764889.19,0.00166414,0.00
2025-12-05 02:30:00,buy,137209000.0000,0.00007288,5.00,754884.19,0.00173703,0.00
2025-12-05 02:35:00,buy,137013000.0000,0.00007299,5.00,744879.19,0.00181001,0.00
2025-12-05 02:40:00,buy,137030000.0000,0.00007298,5.00,734874.19,0.00188299,0.00
2025-12-05 04:20:00,buy,136029000.0000,0.00007351,5.00,724869.19,0.00195650,0.00
2025-12-05 05:20:00,sell,137323000.0000,0.00195650,134.34,993407.52,0.00000000,-1596.67
2025-12-05 08:40:00,buy,137409000.0000,0.00007278,5.00,983402.52,0.00007278,0.00
